rep,method,Source,p_real,text
6,source_balanced,boombd.com,0.993236,"সলমনকে ‘সন্ত্রাসবাদী’ তকমা পাকিস্তানের! বালোচিস্তানকে ভিন্ন দেশ হিসেবে উল্লেখ করেছিলেন সলমন খান। ইচ্ছাকৃত ভুল, না কি অজান্তেই এমন বলেছিলেন, তা নিয়ে প্রশ্ন ওঠে। তবে সেই বেফাঁস মন্তব্যের জন্য এ বার পাকি"
7,source_balanced,boombd.com,0.5132244,"সলমনকে ‘সন্ত্রাসবাদী’ তকমা পাকিস্তানের! বালোচিস্তানকে ভিন্ন দেশ হিসেবে উল্লেখ করেছিলেন সলমন খান। ইচ্ছাকৃত ভুল, না কি অজান্তেই এমন বলেছিলেন, তা নিয়ে প্রশ্ন ওঠে। তবে সেই বেফাঁস মন্তব্যের জন্য এ বার পাকি"
4,baseline,jachai.org,0.7427824,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ"
4,baseline,jachai.org,0.95513666,"শেখ হাসিনা সরকারের সাফল্য বর্তমান সরকার ২০১৯ সালে গঠিত হলেও এসব বার্তায় ২০০৬ সাল, অর্থাৎ ১৭ বছরের পূর্বের উপাত্তের সাথে তুলনা করা হয়েছে। ২০০৬ সালে বাংলাদেশের অপর সংখ্যাগরিষ্ঠ দল বিএনপি দায়িত্ব ছাড়"
4,baseline,jachai.org,0.97136384,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
4,source_balanced,jachai.org,0.57063746,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ"
4,source_balanced,jachai.org,0.9411947,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
8,baseline,jachai.org,0.6345081,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ"
8,baseline,jachai.org,0.9276638,"শেখ হাসিনা সরকারের সাফল্য বর্তমান সরকার ২০১৯ সালে গঠিত হলেও এসব বার্তায় ২০০৬ সাল, অর্থাৎ ১৭ বছরের পূর্বের উপাত্তের সাথে তুলনা করা হয়েছে। ২০০৬ সালে বাংলাদেশের অপর সংখ্যাগরিষ্ঠ দল বিএনপি দায়িত্ব ছাড়"
8,baseline,jachai.org,0.99455076,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
8,source_balanced,jachai.org,0.79411495,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ"
8,source_balanced,jachai.org,0.99478734,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
9,baseline,jachai.org,0.64182854,"পুলিশ কর্মকর্তার বাড়ি থেকে পুঁতে রাখা ১০ তরুণীর লাশ উদ্ধার দেশটির অ্যাটর্নি জেনারেলের দপ্তর জানায়, ৫১ বছর বয়সি হুগো ওসোরিও চাভেজ ওসোরিও নামে ওই পুলিশ কর্মকর্তার বিরুদ্ধে ধর্ষণ ও ১৩টি খুনের মামলার তদ"
9,baseline,jachai.org,0.99419516,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
9,source_balanced,jachai.org,0.7526159,"শেখ হাসিনা সরকারের সাফল্য বর্তমান সরকার ২০১৯ সালে গঠিত হলেও এসব বার্তায় ২০০৬ সাল, অর্থাৎ ১৭ বছরের পূর্বের উপাত্তের সাথে তুলনা করা হয়েছে। ২০০৬ সালে বাংলাদেশের অপর সংখ্যাগরিষ্ঠ দল বিএনপি দায়িত্ব ছাড়"
9,source_balanced,jachai.org,0.9459626,বিসিবি না চাইলেও ‘বিদায়’ জানিয়ে দিয়েছে বাংলাদেশের ক্রিকেট টিমের সাকিব আল হাসান বাংলাদেশ ক্রিকেটের পঞ্চপাণ্ডবের মধ্যে মাঠের বাইরে আছেন মাশরাফি বিন মর্তুজা। ইনজুরির কারণে নিয়মিত মাঠে দেখা যাচ্ছে না তামি
